hek293	hela	k562
ENSG00000196704	2.13519660768709	2.95424250943932	NA
ENSG00000176248	2.53344844119861	2.38021124171161	NA
ENSG00000053900	2.31279508076564	2.22219604630172	NA
ENSG00000089053	2.82032709064156	2.98927179164169	NA
ENSG00000196510	2.50958096988376	2.61193562504012	NA
ENSG00000013523	2.13435361111052	2.60809794632528	NA
ENSG00000174606	2.0886768088238	2.54082981411108	NA
ENSG00000145362	2.08766613696127	NA	NA
ENSG00000151150	2.20429518645591	NA	NA
ENSG00000185722	2.06720169882818	NA	NA
ENSG00000154122	2.00067280298066	2.63548374681491	NA
ENSG00000001629	2.08318145884147	NA	NA
ENSG00000176915	1.80403232948687	NA	NA
ENSG00000106524	1.87576003738868	2.20951501454263	NA
ENSG00000088448	1.95945213774509	2.34635297445064	NA
ENSG00000167522	1.88217893161796	2.36361197989214	NA
ENSG00000101745	1.49751538368663	2.2405492482826	NA
ENSG00000076513	2.16704225857021	2.71966268301805	NA
ENSG00000172932	1.61983633174123	2.20466251174822	NA
ENSG00000134461	1.4716097311495	2.18639121569549	NA
ENSG00000105186	1.86022399473433	2.3392526340327	NA
ENSG00000154065	2.08855525077803	2.28735377271475	NA
ENSG00000154945	1.51043017718511	2.21590181320403	NA
ENSG00000137494	2.22874739157702	2.36361197989214	1.93632707500875
ENSG00000168876	1.13737286656063	2.11058971029925	NA
ENSG00000151458	1.28374875508075	2.16554107672237	1.87941864353917
ENSG00000139645	2.0985032814164	NA	2.08070527361196
ENSG00000135299	2.16122678151858	NA	NA
ENSG00000064999	1.91632813701543	2.33081946649584	2.00868100528367
ENSG00000165138	2.13521623305562	2.58433122436753	NA
ENSG00000163516	2.18357215836675	2.25959387888595	NA
ENSG00000011426	2.09803929141992	2.60552052343747	NA
ENSG00000177119	2.04332385587057	2.76177753750818	NA
