EnsemblGeneID,GeneName,UniProtID,UniProtID_T,K,k,T50,ProteinHalfLife
ENSG00000187735,TCEA1,P23193,P23193;P23193-2,0.042090379,0.017314306,16.468067,1.602420367
ENSG00000184162,NR2C2AP,Q86WQ0,Q86WQ0;Q86WQ0-2,0.017096783,#NUM!,40.54254929,NA
ENSG00000183779,ZNF703,Q9H7S9,Q9H7S9,0.219,0.19652,3.165055619,0.547418706
ENSG00000076928,ARHGEF1,Q92888,Q92888-2;Q92888;Q92888-3;Q92888-4,0.032248101,0.008644096,21.49420168,1.904105867
ENSG00000167487,KLHL26,Q53HC5,Q53HC5,0.083094585,0.059019483,8.341664904,1.069830059
ENSG00000182220,ATP6AP2,O75787,O75787-2;O75787,0.102,0.07952,6.795560594,0.94034909
ENSG00000133313,CNDP2,Q96KP4,Q96KP4;Q96KP4-2,0.030595915,0.00486,22.65489318,2.154189192
ENSG00000163960,UBXN7,O94888,O94888,0.038444505,0.014811563,18.02981134,1.670224569
ENSG00000055957,ITIH1,P19827,P19827;P19827-2,0.0374,0.01116,18.53334707,1.793161266
ENSG00000134070,IRAK2,O43187,O43187,0.229,0.20347,3.026843583,0.532325076
ENSG00000102921,N4BP1,O75113,O75113,0.052623664,0.03206,13.17177729,1.334861943
ENSG00000173992,CCS,O14618,O14618,0.0319,0.00566,21.72875174,2.08800903
ENSG00000163918,RFC4,P35249,P35249;P35249-2,0.038596762,0.015132389,17.95868755,1.660917961
ENSG00000151465,CDC123,O75794,O75794,0.085614018,0.061581843,8.096187989,1.051372778
ENSG00000117394,SLC2A1,P11166,P11166,0.027495454,0.00452,25.20951923,2.185687026
ENSG00000123349,PFDN5,Q99471,Q99471;Q99471-3,0.034898711,0.010545056,19.86168455,1.817776582
ENSG00000155463,OXA1L,Q15070,Q15070-3;Q15070-2;Q15070,0.057657784,0.031003961,12.02174517,1.349408279
ENSG00000119772,DNMT3A,Q9Y6K1,Q9Y6K1;Q9Y6K1-2,0.0185,0.02646,37.46741517,1.418235621
ENSG00000152137,HSPB8,Q9UJY1,Q9UJY1,0.073257355,0.047328968,9.461810142,1.165698427
ENSG00000137628,DDX60,Q8IY21,Q8IY21,0.0314,0.009426113,22.07475097,1.866492835
ENSG00000120438,TCP1,P17987,P17987,0.030197848,0.003522669,22.95352932,2.293953569
ENSG00000053254,FOXN3,O00409,O00409-2;O00409,0.319,0.29276,2.172875174,0.374313723
ENSG00000097046,CDC7,O00311,O00311,0.172,0.14647,4.029925468,0.67507678
ENSG00000150712,MTMR12,Q9C0I1,Q9C0I1;Q9C0I1-3;Q9C0I1-2,0.033230107,0.008349743,20.8590115,1.919152378
ENSG00000066084,DIP2B,Q9P265,Q9P265,0.044458745,0.018387773,15.59079506,1.576296325
ENSG00000149600,COMMD7,Q86VX2,Q86VX2-2;Q86VX2,0.0539,0.03116,12.85987348,1.347228012
ENSG00000183978,COA3,Q9Y2R0,Q9Y2R0,0.0579,0.03166,11.9714539,1.34031455
ENSG00000179091,CYC1,P08574,P08574,0.0309,0.00466,22.43194759,2.172439544
ENSG00000136897,MRPL50,Q8N5N7,Q8N5N7;Q8N5N7-2,0.039364451,0.012540558,17.60845543,1.742508593
ENSG00000079739,PGM1,P36871,P36871;P36871-2;P36871-3,0.021149941,0.00242,32.77300792,2.457010095
ENSG00000206053,HN1L,Q9H910,Q9H910;Q9H910-3,0.037425927,0.012145929,18.52050808,1.75639471
ENSG00000079432,CIC,Q96RK0,Q96RK0,0.040568461,0.01758737,17.08586348,1.595624549
ENSG00000068489,PRR11,Q96HE9,Q96HE9,0.182463695,0.159789159,3.798822448,0.637278151
ENSG00000065559,MAP2K4,P45985,P45985;P45985-2,0.040585096,0.014317807,17.07886028,1.684948954
ENSG00000176623,RMDN1,Q96DB5,Q96DB5;Q96DB5-2;Q96DB5-3,0.0402,0.01467,17.24246718,1.674395347
ENSG00000090339,ICAM1,P05362,P05362,0.025814724,0.00257,26.85084557,2.430892338
ENSG00000187742,SECISBP2,Q96T21,Q96T21-2;Q96T21-3;Q96T21,0.0863,0.06077,8.031832915,1.057136225
ENSG00000160256,FAM207A,Q9NSI2,Q9NSI2-2;Q9NSI2,0.095817013,0.071525214,7.234072093,0.986366297
ENSG00000176692,FOXC2,Q99958,Q99958,0.187,0.16452,3.706669415,0.62460676
ENSG00000113369,ARRDC3,Q96B67,Q96B67,0.0699,0.04366,9.916268678,1.20074173
ENSG00000108055,SMC3,Q9UQE7,Q9UQE7,0.0331225,0.009355704,20.92677734,1.869748981
ENSG00000213995,CARKD,Q8IW45,Q8IW45;Q8IW45-4;Q8IW45-3;Q8IW45-2,0.025608983,0.00172,27.06656434,2.605297014
ENSG00000171403,KRT9,P35527,P35527,1.13,1.10752,0.613404585,-0.203526116
ENSG00000112659,CUL9,Q8IWT3,Q8IWT3;Q8IWT3-3,0.0522,0.02596,13.27868162,1.426520773
ENSG00000140455,USP3,Q9Y6I4,Q9Y6I4;Q9Y6I4-2,0.066046877,0.041239079,10.49477597,1.225516508
ENSG00000168439,STIP1,P31948,P31948;P31948-2;P31948-3,0.032998636,0.01082,21.00532802,1.8065982
ENSG00000099940,SNAP29,O95721,O95721,0.054299171,0.028414947,12.76533627,1.387278614
ENSG00000263465,SRSF8,Q9BRL6,Q9BRL6-2;Q9BRL6,0.069006159,0.04303364,10.04471469,1.207017375
ENSG00000068438,FTSJ1,Q9UET6,Q9UET6-2;Q9UET6,0.123474694,0.097938097,5.61367807,0.849873799
ENSG00000163349,HIPK1,Q86Z02,Q86Z02-4;Q86Z02-3;Q86Z02-2;Q86Z02,0.0784,0.05287,8.841163017,1.117616151
ENSG00000133114,GPALPP1,Q8IXQ4,Q8IXQ4;Q8IXQ4-4,0.043449971,0.017763817,15.95276501,1.591289167
ENSG00000085978,ATG16L1,Q676U5,Q676U5-2;Q676U5;Q676U5-5;Q676U5-4,0.028426748,0.005858191,24.38362564,2.073061945
ENSG00000099204,ABLIM1,O14639,O14639-2;O14639-6;O14639;O14639-3;O14639-5;O14639-4,0.03209003,0.008189945,21.60007919,1.927544473
ENSG00000140990,NDUFB10,O96000,O96000;O96000-2,0.060094675,0.034212106,11.53425286,1.306645651
ENSG00000140650,PMM2,O15305,O15305;O15305-2,0.033945545,0.00897,20.41938605,1.888033018
ENSG00000112759,SLC29A1,Q99808,Q99808;Q99808-2,0.034149963,0.009067282,20.29715735,1.883348346
ENSG00000123106,CCDC91,Q7Z6B0,Q7Z6B0-2;Q7Z6B0;Q7Z6B0-3,0.040094638,0.015706865,17.28777748,1.644735957
ENSG00000072682,P4HA2,O15460,O15460-2;O15460,0.042036889,0.02036,16.48902201,1.532047687
ENSG00000105647,PIK3R2,O00459,O00459,0.0418,0.01926,16.58246843,1.556169178
ENSG00000127463,EMC1,Q8N766,Q8N766-3;Q8N766-2;Q8N766;Q8N766-4,0.0267,0.06686,25.96056856,1.015659089
ENSG00000198113,TOR4A,Q9NXH8,Q9NXH8,0.0675,0.057311946,10.26884712,1.082580303
ENSG00000163875,MEAF6,Q9HAF1,Q9HAF1-2;Q9HAF1;Q9HAF1-4;Q9HAF1-3,0.0519,0.031555209,13.35543701,1.341754403
ENSG00000099899,TRMT2A,Q8IZ69,Q8IZ69-2;Q8IZ69,0.048879955,0.022991264,14.18060186,1.479262621
ENSG00000147894,C9orf72,Q96LT7,Q96LT7,0.0432,0.01696,16.04507362,1.611399613
