Gene_ID	brain_1	brain_2	brain_3	liver_1	liver_2	liver_3	testis_1	testis_2	testis_3
ENSG00000156689	0	0.1322	0.1252	NA	NA	NA	NA	NA	NA
ENSG00000156697	6.5341	7.5115	7.5728	2.0585	2.7178	2.3242	2.394	2.7091	5.4755
ENSG00000156709	23.7001	20.5195	24.3351	55.4459	89.4051	66.317	140.8127	137.8276	124.5076
ENSG00000156711	7.4637	5.4552	7.2509	2.1113	0.513	0.8414	46.953	38.9909	25.843
ENSG00000156735	31.1095	30.6882	38.5628	2.5149	6.7558	3.8883	8.8494	8.3866	11.9132
ENSG00000156738	NA	NA	NA	0.1468	0.4109	0.2022	0.3808	0	0.7545
ENSG00000156787	1.3463	1.3524	2.2182	0.3645	0.3402	0.5393	15.5487	8.9764	4.9667
ENSG00000156795	20.2562	22.9113	19.6567	1.6278	1.7438	1.9175	42.64	33.2368	24.7433
ENSG00000156802	6.2465	3.4398	5.9902	1.436	2.3477	6.2185	107.4473	78.6054	37.4151
ENSG00000156804	59.3111	72.205	62.2999	1.1467	1.3072	2.1815	6.3755	5.9515	27.5373
ENSG00000156831	31.6813	19.2933	30.9185	3.2922	8.1969	8.2067	24.8411	32.7951	24.177
ENSG00000156853	1.0543	1.8166	1.3266	0.8439	1.5969	1.7238	6.8926	6.439	4.2486
ENSG00000156858	2.0731	1.8416	2.4784	0.4727	1.0309	0.8454	4.0115	2.2393	3.8625
ENSG00000156860	4.1055	5.5269	4.2783	0.7134	1.24	1.2967	19.9139	16.456	9.7945
ENSG00000156869	NA	NA	NA	20.2582	19.4217	28.894	5.6316	4.3166	15.1475
ENSG00000156873	17.703	19.5821	21.7109	3.0153	4.5687	5.1637	21.3005	30.0324	10.7955
ENSG00000156875	38.7812	38.5824	26.2451	4.6323	4.7221	6.5995	37.1788	41.3696	34.5894
ENSG00000156876	2.1072	2.7071	2.1324	0.4668	0.984	0.8321	18.0846	13.1914	10.0463
ENSG00000156885	0.4042	2.3881	0	1.4877	2.5825	3.7574	0	0.279	1.5296
ENSG00000156886	NA	NA	NA	0.4533	0.0508	0.4995	NA	NA	NA
ENSG00000156920	NA	NA	NA	NA	NA	NA	0	0	0
ENSG00000156925	0.2018	0.2555	0.5912	NA	NA	NA	NA	NA	NA
ENSG00000156928	53.7189	44.7601	57.2446	19.0468	26.1943	23.646	61.123	81.0847	52.7511
ENSG00000156931	25.6337	14.4396	19.491	1.5905	1.237	2.1099	23.3468	15.2402	11.8384
ENSG00000156958	22.4075	22.4946	20.8035	14.2334	12.1843	17.1784	20.8441	27.43	22.0162
ENSG00000156959	17.4646	17.0098	19.8514	NA	NA	NA	1.0133	0.3661	0.803
ENSG00000156966	2.085	2.4635	2.2025	0.8859	0.7027	0.8983	1.9176	1.7638	7.656
ENSG00000156968	3.1504	7.854	3.6861	3.7005	13.6757	3.0246	1.5636	2.6367	4.3371
ENSG00000156970	0	0.3315	0	0.3352	0.219	0.1283	102.7374	83.4528	39.2548
ENSG00000156973	99.5182	89.1198	102.0492	11.49	11.462	11.439	70.1092	96.5898	45.3663
ENSG00000156976	970.0821	970.2753	1299.079	56.5724	66.5695	75.3304	219.5741	278.4205	236.4171
ENSG00000156983	4.7969	3.8878	4.3696	0.36	0.5846	0.6943	16.8526	10.8679	8.6607
ENSG00000156990	15.2307	16.6588	13.7764	5.7574	11.5966	8.3877	31.0424	27.8433	27.8503
ENSG00000157005	397.3905	279.5989	425.7255	NA	NA	NA	0.4157	1.8693	1.4093
ENSG00000157014	7.0184	4.4364	6.7516	0.6123	0.5893	0.861	16.2334	8.5029	8.1834
ENSG00000157017	0	0.6133	0.3483	0	0	0	0	0	0.5081
ENSG00000157020	69.9539	85.8292	66.1453	30.0172	55.5304	46.077	89.3421	81.6768	145.303
ENSG00000157036	22.8314	13.2487	21.1802	1.215	1.4225	0.7101	16.3439	13.521	11.8618
ENSG00000157045	3.5242	2.8429	4.2345	1.6408	2.7301	0.7535	4.848	5.3622	6.073
ENSG00000157060	0.1615	0.0199	0.0565	0	0	0.12	346.9484	308.3308	29.1773
ENSG00000157064	233.2306	204.2752	221.941	NA	NA	NA	34.4243	17.3528	45.3586
ENSG00000157077	32.7994	22.6487	33.4366	0.9611	1.3511	1.7183	11.5053	10.4388	6.8431
ENSG00000157087	286.0709	188.3178	311.7921	7.3016	5.3027	6.4312	1.3247	0.8377	0.3062
ENSG00000157093	0.9881	0	0.7535	NA	NA	NA	38.8208	47.6098	1.0197
ENSG00000157103	249.4859	339.3742	355.3483	41.0664	99.315	53.5707	3.0533	3.4401	5.0216
ENSG00000157106	8.3297	4.2997	7.7134	0.9831	4.3461	3.9427	18.2618	11.3885	6.0745
ENSG00000157107	10.6324	13.6754	8.4531	6.3281	9.674	12.2672	27.2067	26.7991	23.2332
ENSG00000157110	1.2605	5.5554	2.014	4.022	9.642	8.4264	11.8795	13.5514	50.2673
ENSG00000157111	3.0879	1.2402	1.5148	1.0318	0.5275	0.3296	0.6485	0.4206	0.4612
ENSG00000157119	NA	NA	NA	NA	NA	NA	0.2867	0.2857	0.0482
ENSG00000157131	NA	NA	NA	610.357	456.2489	672.3096	NA	NA	NA
ENSG00000157150	2.4649	4.3918	2.1881	0.1185	0	0.1633	0.3242	1.0024	2.0986
